Kanda,Event_ID,Event_Name,Location,Characters_Involved,Detailed_Content
Bala Kanda,BALA_20,Marriage of the Four Brothers,Sakansyanagri,,king was invited (brother of Janka) who proposed why not marry all 4 brothers in the same family.Lord Dashrathe was invited who brought the entire Nagri for the marriage. All the 4 brothers got married
Bala Kanda,BALA_19,Sita's Swayamvara and Breaking of Shiva's Bow,Mithila,rama; janaka; sita,Here Lord rama was challenged to tie knot to the bow of lord shiva since whoever would do so Mithilaraja Janaka would marry his daughter to him. Many failed to even pick up the bow but lord Rama not only picked it up but during the process broke the bow as well.
Bala Kanda,BALA_18,Amrit Manthan and the City of Vishala,Vishala,,Here Vishwakarma told the two brothers about the story Amrit manthan(can see in the reference stories) and about Vishala(Place)
Bala Kanda,BALA_17,Origins of the Ganga River,Gangatatta,rama; janaka,"After the yagya Vishwamitra had to go to Mithila to participate in king Janaka’s sacrifice, while going through they went through multiple places. Here lord Rama was told about the origins of Ganga.(Can see in the reference stories section)"
Bala Kanda,BALA_16,Protection of the Yagya and Defeat of Subahu,Vishwamitraashram,rama; maricha,"The yagya took place here(where lord Vishu’s Vamana avatar had also stayed). When Maricha ad Subaru came to disturb it ,Rama and Lakshmaa killed Subaru and severely injured Marciha using the Manavastra,Agrastra and Vayavya Astra"
Bala Kanda,BALA_1,Origin of Lanka and Rule of Kubera,Lanka,,"Formed by lord Vishwakarma but was eventually taken by Mali, Sumali and Malyavan which were the overthrown by lord Kuber (by the Grace of Lord Vishnu)"
Bala Kanda,BALA_14,Story of Ganga,Sarivariver and anga river merging point,rama; lakshmana,Vishwakarma told Rama and Lakshmana the story of the origin of Maa Ganga(Can see in the reference stories section).They stayed in an Ashram where lord Shiva once did tapasya
Bala Kanda,BALA_2,"Ravana, Vibhishana, and Kumbhakarna's Boons",Gokarna,kumbhakarna; vibhishana; ravana,"Ravana, Vibhishana, and Kumbhakarna underwent a rigorous ten-year penance to please Lord Brahma and seek divine boons. Ravana's ambitious plea for immortality was denied, but he was granted invincibility against celestial beings, divine birds, serpents, spirits, demons, and giants. Additionally, he acquired the power to shapeshift. In contrast, Vibhishana's humble wish to adhere to the path of righteousness impressed Brahma. As a reward, he bestowed upon Vibhishana the knowledge of the Brahmastra and the Amritvani.Anticipating Kumbhakarna's potential for misuse of power, Brahma enlisted Saraswati's aid. Under her influence, Kumbhakarna inadvertently requested the ability to sleep for extended periods. Despite initial annoyance, Ravana recognized the strategic advantage of having such a formidable warrior, albeit one who would be incapacitated for significant durations. "
Bala Kanda,BALA_3,Ravana Reclaims Lanka,Lanka,ravana,"After learning of his grandson's boon, Sumali emerged from hiding. He manipulated Ravana, fueling his arrogance and cruelty, and aided him in reclaiming Lanka."
Bala Kanda,BALA_4,Marriages of Ravana and his Brothers,Lanka,kumbhakarna; mandodari; surpanakha; ravana; vibhishana,"Marriage of all the 4 cousins Vidyut Jihva with surpanakha,Ravana with Mandodari,Kumbhakarna with Vajrajwala and Vibhishana with Sarama"
Bala Kanda,BALA_5,Ravana Defeats Kubera,Kailash,ravana,"After Ravana's arrogance grew, he attacked Kubera and defeated him, seizing his Pushpaka Vimana."
Bala Kanda,BALA_6,Ravana Attempts to Lift Mount Kailash,Kailash,ravana,"As Ravana flew past Kailash on his Pushpaka Vimana, Nandi, Lord Shiva's sacred bull, intercepted him. Nandi informed Ravana that Lord Shiva and Parvati were currently residing there and requested him not to disturb them. Ignoring Nandi's warning, Ravana attempted to lift the entire Mount Kailash. However, Lord Shiva effortlessly pressed down on the mountain with his toe, crushing Ravana's hand in the process."
Bala Kanda,BALA_8,Ravana's Conquests and Curse,Ayodhya,surpanakha; ravana,"After defeating yama lok ,patal lok ,killing surpanakha's husband in the battle in Kalki,Lord Varuna (Samudra Swami),and to some extent dev lok(where ravanas son Meghnada captured lord Indra(hence was known as Indrajeet)who was later freed by lord Brahma)(CAN CHECK BRIEF DESCRIPTIONS OF THESE BATTLES IN THE RELATED STORIES SECTION),ravana defeated kshatriya king Aranya who eventually cursed Ravana that someone from his(kshatriya) Vansha will only kill him"
Bala Kanda,BALA_7,Ravana Gains his Name,Kailash,ravana,"After being in pain for days due to his hands stuck beneath kailash,Dash Griva prayed lord shiva for an year for mercy.lord shiva eventually forgave him but due to his crying (rodan) named Dashgriva as Ravana."
Bala Kanda,BALA_9,Marriage of Shanta and Shringirishi,Angadesh,,Current kshatriya king Dasharath’s daughter(who was the adopted by Kind Rompada) Shanta was married to Shringirishi(son of Rishi Vibhandaka and a hirani)(CAN SEE THE STORY OF SHRINGIRISHI IN RELATED STORIES)
Bala Kanda,BALA_10,Putrakameshti Yagna and Birth of Sons,Sarivariver(northern bay),sumitra; kaikeyi,"To ensure King Dasharatha was blessed with sons, Sage Shringi conducted both the Ashwamedha Yagna and the Putreshti Yagna. The rituals resulted in a sacred offering of kheer (rice pudding). King Dasharatha divided the kheer amongst his three favored wives: Sumitra received two spoons, while Kaushalya and Kaikeyi each received one."
Bala Kanda,BALA_11,"Birth of Rama, Lakshmana, Bharata, and Shatrughna",Ayodhya,rama; lakshmana; shatrughna; bharata,"Birth of Lord Rama, Lakshaman, Shatrughan and Bharata took place"
Bala Kanda,BALA_12,Education and Vishwamitra's Request,Ayodhya,rama; maricha,Maharishi Vashishtha (Dashratha’s Purohit) taught the 4 brothers knowledge of everything. Vishwakarma came to ask for lord Rama and Lakshamana to kill Maricha and Subaru(2 rakshasas who have been destroying yagyas for quite some time)
Bala Kanda,BALA_13,Bala and Atibala Mantras,Sarivariver and anga river merging point,rama; lakshmana,Vishwakarma taught Rama and Lakshmana “Bala and Atibala Mantra”(made them tireless and gain immense amount of wisdom and knowledge)
Bala Kanda,BALA_15,Defeating Tadaka,Tadkaforest,,Defeated rakshasi Tadaka here(Reference stories)
Ayodhya Kanda,AYODHYA_14,Bharata Meets Gud and Learns of Rama's Jata,Ayodhya,rama; bharata,"Following the instructions from the locals, Bharata reached the kingdom of Gud. Misjudging Bharata and his army as enemies of Lord Rama, Gud believed they intended to kill Lord Rama, who was currently unprotected and alone. In the final moments, Gud realized that they were actually there to bring him back. It was at this point that Gud informed Bharata that Lord Rama had now become a jatadhari. Understanding this, Bharata realized it would be nearly impossible to bring Lord Rama back. Nevertheless, he insisted on trying and wanted to tell Rama about the loss of their father."
Ayodhya Kanda,AYODHYA_16,Reunion and Discussion on Dharma,Chitrakoot,rama; lakshmana; bharata,"Upon reaching Chitrakut, Lakshmana initially suspects that an army has been sent to kill Lord Rama. However, as soon as he sees the Kshatriya flag, he realizes the truth. Bharata finally finds Lord Rama and recounts everything that has occurred in Ayodhya. Both Lord Rama and Lakshmana grieve the loss of their father. Lord Rama explains the importance of Dharma and its significance in the universe, emphasizing why he cannot return. He then names Bharata as the new king of Ayodhya for the duration of his exile and asks him to return home."
Ayodhya Kanda,AYODHYA_15,Guidance from Muni Bhardwaj,Bharadwajaashram,rama; bharata,Reference story(how he handled to prepare food and host for the entire army).Muni Bhardwaj then tells Bharata about the location where lord Rama is nearby
Ayodhya Kanda,AYODHYA_13,Bharata Refuses the Throne,Ayodhya,rama; bharata,Bharatha refuses the title of the king and proposes to swap his position with lord Rama so that he can perform his xile meanwhile lord Rama can rule the kingdom
Ayodhya Kanda,AYODHYA_11,Reaching Valmiki Ashram and Commencing Exile,Valmiki ashram,rama; sita,"Lord Rama finally reaches Rishi Valmiki’s ashram,near which he finally decides to perform his exile for 14 years.Mother Sita then prayed in that land to make it pure and thanking it for its service.Till here as well a guptachar of Gud was following lord Rama and hence told Gud and Sumantha about the location and told him they were in a good place.Sumantha finally leaves for Ayodhya with this news"
Ayodhya Kanda,AYODHYA_10,Approaching Chitrakoot,Chitrakoot,rama,Lord rama finds a lot of pure Mahatma Munis there and knew he was getting close
Ayodhya Kanda,AYODHYA_9,Crossing the Yamuna River,River yamuna,rama,lord Rama crosses river Yamuna in search of the location told by Muni Bhardwaj
Ayodhya Kanda,AYODHYA_8,Seeking Guidance from Muni Bhardwaj,Munibardvajaashram,rama,Lord Rama greets muni Bhardwaj and asks him for a place where people won’t be able to find them and is peaceful.Muni bhardwaj tells him about the exact location in Chitrakut parvat(approx. 30 kos far) which is very pure.
Ayodhya Kanda,AYODHYA_7,First Night Outside Ayodhya,Vatsyadesh(border of pryag),lakshmana; sita,"The three of them then walked barefoot to Vatsyadesh, spending their first night outside Ayodhya. That night, Lord Lakshmana took the responsibility of protecting his brother and his sister-in-law, Sita, by staying awake all night."
Ayodhya Kanda,AYODHYA_6,Crossing the Ganga and Parting with Sumantha,Ganga river,rama,Lord Rama finally crosses Ganga river and now asked Sumantha to leave as well.
Ayodhya Kanda,AYODHYA_5,Arrival in Gud's Kingdom and Rama's Resolve,Kingdom of gud(in/near shangamirpur),rama; lakshmana; sita,"Lord Rama finally reached the kingdom of Gud, where he was extremely dear to his friend. Sumantha and the others pleaded with Lord Rama, Sita, and Lakshmana to return, expressing that they would be left heartbroken if they departed. However, this was the moment when Lord Rama fashioned his jata (“jatadhari”) from the milk of a badh. After doing this, everyone understood that Lord Rama had made his final decision and would not change it."
Ayodhya Kanda,AYODHYA_4,Reaching the Former Course of Ganga,Shanghamirpur,rama,Lord Rama reached where river Ganga used to flow
Ayodhya Kanda,AYODHYA_3,Southward Journey and Crossing Gomti River,Gomti river,,They turned towards the southern direction(towards Astha Rishi Dwara) and crossed the Gomti River
Ayodhya Kanda,AYODHYA_2,Final Farewell to Ayodhya,Vedshrutiriver,rama,"Before crossing the Vedshruti River and after passing several local villages, Lord Rama bids his final farewell to Ayodhya from above."
Ayodhya Kanda,AYODHYA_1,Rama Leaves Ayodhya at Dawn,Tamsariver,rama,"(NOTE: Kindly review the 'Happenings at Ayodhya'from Reference Stories before proceeding).The entire city of Ayodhya followed Lord Rama wherever he went. Since he couldn't bear to see them like this, he instructed Sumantha to cross the river early in the morning so the people of Ayodhya wouldn't be able to follow him. He also told Sumantha to take a path that would confuse them about where he had actually gone."
Ayodhya Kanda,AYODHYA_12,Events in Ayodhya,Ayodhya,,Meanwhile a lot of things happened in Ayodhya(Reference stories)
Aranya Kanda,ARANYA_14,Encounter wiht Shabari,Rishyamukhaparvat,rama; lakshmana; shabari,rama and lakshmana meet shabari an elderly ascetic woman who offers them hospitality
Aranya Kanda,ARANYA_15,Hanuman's Introduction,Kishkindha,rama; hanuman,hanuman the mighty monkey warrior and devotee of lord rama is introduced in aryanakanda
Aranya Kanda,ARANYA_13,Rama's Search for Sita,Pampariver,rama; lakshmana; sita,"rama and lakshmana upon their return discover sita's abduction,  they began their search for sita crossing the pampa river"
Aranya Kanda,ARANYA_11,Abduction of Sita,Panchavati,rama; lakshmana; ravana; sita,"ravana the demon king, disguied as a mendicant, abducts sita in the absence of rama and lakshmana"
Aranya Kanda,ARANYA_10,Janasthana,Janasthana,rama,rama defeats khara and his demon army in the vicinity of janasthana
Aranya Kanda,ARANYA_9,Surpanakhas Revenge,Dandakaforest,surpanakha; ravana; sita,"surpanakha seeks revenge and approaches ravana, describing the beauty of sita and instigating him to abduct her"
Aranya Kanda,ARANYA_1,"Arrival of Rama,Sita and Laskshmana",Dandakaforest,rama; sage vishwamitra; sita,they accompanied by sage vishwamitra who seeks rama's help in protecting his yajna (sacrificial ritual) from demons
Aranya Kanda,ARANYA_2,Encounter with Tataka,Dandakaforest,rama,"rama encounters the demoness tataka in forest,  with vishwamitra's guidance, rama succesfully eliminates tataka, freeing the forest from her menace"
Aranya Kanda,ARANYA_3,Arrival at the Hermitage of Sage Sutikshna,Dandakaforest,rama; lakshmana; sita,"rama, sita and lakshmana reach the hermitage of sage sutikshna"
Aranya Kanda,ARANYA_4,Sage Shabala's story,Dandakaforest,rama; ravana,"sage shabala narrates her story and seeks ravana's help,  rama promises to protect and hermitage her"
Aranya Kanda,ARANYA_5,Encounter with Viradha,Dandakaforest,rama,"the trio encounters the demon viradha, rama defeats viradha who was once a celestial being cursed to live as demon"
Aranya Kanda,ARANYA_6,Arrival at Panchavati,Panchavati,rama; lakshmana; sita,"rama,sita and lakshmana settle in picturesque panchavati,  build a simple hermitage"
Aranya Kanda,ARANYA_7,Surpanakhas Encounter,Panchavati,rama; lakshmana; surpanakha,"surpanakha encounters rama and is attracted to him, she expresses her desire for rama leading to the disfigurement of here nose and ears by lakshmana"
Aranya Kanda,ARANYA_8,Khara and Dushana's Attack,Kharaterritory,rama; surpanakha,"khara and dushana demon siblings and relatives of surpanakha attacks rama's hermitage,  rama defeats them in battle"
Aranya Kanda,ARANYA_12,Jatayu's heroic effort,Lepakshi,jatayu; ravana; sita,the vulture witness sita's abduction and valiantly tries to rescue her but is defeated by ravana
Kishkindha Kanda,KISHKINDHA_13,Siege of Lanka,Srilanka,rama; ravana,the siege of lanka begins with intense battle between rama's forces and ravana's army
Kishkindha Kanda,KISHKINDHA_12,Siege of Lanka,Srilanka,rama; ravana,the siege of lanka begins with intense battle between rama's forces and ravana's army
Kishkindha Kanda,KISHKINDHA_10,alliance with vanara and bear armies,Ramsetu,sugriva; angada; hanuman,"various monkey and bear commanders including sugriva,hanuman,angada,jambavan,nala and neela gather for the expedition to lanka"
Kishkindha Kanda,KISHKINDHA_9,building the ramasetu(adam's bridge),Ramsetu,rama,"rama decides to build a bridge to lanka, the army of monkeys and bears construct the rama setu. a bridge of stones to cross the ocean"
Kishkindha Kanda,KISHKINDHA_8,Burning of Lanka' with Tail,Srilanka,rama; hanuman; sita,"hanuman's sets fire to lanka using his burning tail after exploring the city, he returns to rama with information about the sita's whereabouts"
Kishkindha Kanda,KISHKINDHA_7,Hanuman's Leap to Lanka,Srilanka,hanuman; sita,"hanuman crosses the ocean in a giant leap reaching lanka in search of sita, he finds sita in ashoka vatika(garden of vatika)"
Kishkindha Kanda,KISHKINDHA_6,Hanumans Introduction,Rishyamukhaparvat,sugriva; hanuman; sita,"hanuman is a devoted follower of sugriva, is introduced, key figure to search for sita"
Kishkindha Kanda,KISHKINDHA_5,Vali's Defeat by Rama,Panchavati,vali; rama; angada; sugriva,"rama challenges vali to a duel, with vali's son angada's help rama defeats nali and sugriva becomes the king of kishkindha"
Kishkindha Kanda,KISHKINDHA_4,Sugriva's Alliance with Rama,Kishkindha,sugriva; rama; vali; ravana; sita,sugriva promises to help rama find sita in return for ravana's assistance in reclaming the throne from vali
Kishkindha Kanda,KISHKINDHA_3,Cave of Matanga,Matanga,vali; rama; sugriva,"matanga's hermitage is a cave where sugriva initially hides from vali, sugriva later establishes his bases in their cave after forming an alliance with rama"
Kishkindha Kanda,KISHKINDHA_2,Introduction of Sugriva and Vali,Kishkindha,sugriva; vali,"sugriva is introduced as the excited monkey king, and vali his elder brother current ruler of kishkindha"
Kishkindha Kanda,KISHKINDHA_1,Search for Sita,Kishkindha,rama; lakshmana; sita,"rama and lakshmana continue their search for sita, reaching the region of kishkindha"
Kishkindha Kanda,KISHKINDHA_11,Reaching Lanka,Srilanka,rama,rama's army led by the monkey and bear forces reaches lanka through rama setu
